Row 1,Row 2,Row 3
-91.38592,-61.31701,111
-91.31023,-61.41573,112
-91.47878,-61.38439,113
-104.97634,-61.08906,114
-94.16946,-61.14441,115
-109.65662,-61.1716,116
-104.33919,-60.75166,117
-86.19615,-60.47147,118
-91.3593,-60.4939,119
-92.19854,-60.80659,120
-82.93596,-61.55065,121
-75.19309,-62.19749,122
-77.7215,-62.67298,123
-79.41291,-63.3542,124
-76.02104,-63.18004,125
-77.19932,-62.2948,126
-83.71771,-62.23838,127
-92.11377,-62.48915,128
-102.63979,-62.46561,129
-101.97476,-63.21647,130
-89.96643,-64.27136,131
-98.82828,-64.59235,132
-82.42661,-65.30368,133
-81.76855,-66.2154,134
-111.06003,-66.66519,135
-97.80106,-68.55157,136
-81.99573,-71.41079,137
-84.25582,-72.11547,138
-84.03883,-73.50892,139
-79.75814,-76.16853,140
-83.67169,-75.27943,141
-104.14515,-75.29486,142
-117.13367,-79.03917,143
-92.80325,-82.21076,144
-83.22547,-86.41645,145
-83.91687,-103.96941,146
-121.00527,-84.69548,147
-100.41058,-78.30064,148
-87.61307,-75.96813,149
-137.59352,-75.69259,150
-106.18734,-73.19022,151
-84.69126,-71.5795,152
-96.14958,-72.27081,153
-86.69689,-70.85587,154
-93.91881,-68.75968,155
-100.32954,-69.17805,156
-103.61959,-69.21715,157
-92.82932,-67.11002,158
-97.3769,-65.63563,159
-79.46558,-64.5986,160
-76.43761,-63.31443,161
-78.12021,-62.68326,162
-76.69814,-62.80578,163
-75.08943,-63.01385,164
-77.91539,-62.87358,165
-77.81938,-62.48371,166
-73.85371,-62.67658,167
-74.76934,-63.42927,168
-80.06434,-63.33579,169
-81.37022,-62.73185,170
-79.97855,-62.617,171
-79.53153,-62.01954,172
-76.52769,-60.95242,173
-73.07699,-60.63678,174
-71.0687,-60.50632,175
-70.40152,-59.75532,176
-70.48398,-59.27285,177
-70.1592,-59.3692,178
-69.90415,-59.33933,179
-70.79372,-59.1772,180
-71.23534,-59.21543,181
-70.71053,-59.35593,182
-71.97133,-59.637,183
-74.2594,-60.03475,184
-73.84267,-60.35802,185
-74.14331,-60.73146,186
-77.01076,-60.88077,187
-76.46691,-60.50747,188
-74.55944,-60.44982,189
-75.6787,-60.85264,190
-75.52559,-60.73562,191
-73.07517,-60.51835,192
-72.03399,-60.82638,193
-71.31709,-60.83604,194
-70.74923,-60.87916,195
-71.30928,-61.94951,196
-71.43017,-62.94744,197
-71.66897,-63.12873,198
-73.65635,-63.78126,199
-74.60681,-64.79202,200
-75.31975,-65.90698,201
-79.46552,-67.71112,202
-79.27793,-68.61864,203
-76.38047,-68.8555,204
-78.93024,-70.56224,205
-78.3379,-70.92453,206
-73.88891,-70.09387,207
-74.01972,-72.21734,208
-74.25579,-74.08963,209
-71.86339,-72.54588,210
-71.03983,-72.75729,211
-69.73232,-73.34541,212
-68.24587,-74.1494,213
-69.44932,-81.4855,214
-70.71765,-103.09111,215
-70.4467,-109.85674,216
-72.7381,-81.39979,217
-75.43294,-75.65066,218
-75.76467,-72.5903,219
-80.28825,-68.09442,220
-84.46655,-66.36749,221
-83.94167,-66.45208,222
-94.97313,-64.98593,223
-86.13326,-64.21957,224
-100.36356,-64.82194,225
-99.18514,-64.20844,226
-87.6449,-63.78004,227
-81.29602,-64.22181,228
-103.98777,-63.5325,229
-98.33036,-63.25064,230
-83.78774,-63.92284,231
-91.56632,-63.43927,232
-107.9726,-62.95208,233
-82.95115,-62.8916,234
-85.73784,-62.1036,235
